
2024/09/07 (03:03:15) | ===> btop++ v.1.3.2
2024/09/07 (03:03:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/17 (20:13:15) | ===> btop++ v.1.3.2
2024/09/17 (20:13:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/17 (21:52:31) | ===> btop++ v.1.3.2
2024/09/17 (21:52:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (00:23:42) | ===> btop++ v.1.3.2
2024/09/18 (00:23:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (03:30:06) | ===> btop++ v.1.3.2
2024/09/18 (03:30:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/19 (12:12:06) | ===> btop++ v.1.3.2
2024/09/19 (12:12:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (20:47:29) | ===> btop++ v.1.3.2
2024/09/23 (20:47:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (01:39:18) | ===> btop++ v.1.3.2
2024/09/24 (01:39:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (03:29:14) | ===> btop++ v.1.3.2
2024/09/24 (03:29:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (15:37:31) | ===> btop++ v.1.3.2
2024/09/25 (15:37:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (00:32:29) | ===> btop++ v.1.3.2
2024/09/26 (00:32:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (13:54:38) | ===> btop++ v.1.3.2
2024/10/04 (13:54:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/10 (23:54:28) | ===> btop++ v.1.3.2
2024/10/10 (23:54:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/12 (21:03:30) | ===> btop++ v.1.3.2
2024/10/12 (21:03:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/12 (21:13:54) | ===> btop++ v.1.3.2
2024/10/12 (21:13:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/08 (14:07:12) | ===> btop++ v.1.4.0
2025/01/08 (14:07:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/08 (16:04:14) | ===> btop++ v.1.4.0
2025/01/08 (16:04:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/10 (17:07:03) | ===> btop++ v.1.4.0
2025/01/10 (17:07:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/11 (15:02:26) | ===> btop++ v.1.4.0
2025/01/11 (15:02:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/14 (13:09:19) | ===> btop++ v.1.4.0
2025/02/14 (13:09:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/14 (13:09:37) | WARNING: Failed to join _runner thread on exit!

2025/02/25 (16:11:42) | ===> btop++ v.1.4.0
2025/02/25 (16:11:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (16:12:37) | ===> btop++ v.1.4.0
2025/02/25 (16:12:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (16:13:21) | ===> btop++ v.1.4.0
2025/02/25 (16:13:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/17 (02:59:02) | ===> btop++ v.1.4.0
2025/03/17 (02:59:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/23 (16:57:22) | ===> btop++ v.1.4.0
2025/03/23 (16:57:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/23 (16:57:28) | WARNING: Failed to join _runner thread on exit!

2025/04/09 (00:01:40) | ===> btop++ v.1.4.0
2025/04/09 (00:01:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (00:09:36) | ===> btop++ v.1.4.0
2025/04/09 (00:09:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/16 (08:31:00) | ===> btop++ v.1.4.0
2025/04/16 (08:31:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/16 (19:44:40) | ===> btop++ v.1.4.0
2025/04/16 (19:44:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/16 (23:17:32) | ===> btop++ v.1.4.0
2025/04/16 (23:17:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/17 (20:18:41) | ===> btop++ v.1.4.0
2025/04/17 (20:18:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/18 (00:31:21) | ===> btop++ v.1.4.0
2025/04/18 (00:31:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/19 (01:53:02) | ===> btop++ v.1.4.0
2025/04/19 (01:53:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/19 (14:08:51) | ===> btop++ v.1.4.0
2025/04/19 (14:08:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/19 (15:10:53) | WARNING: Failed to join _runner thread on exit!

2025/04/20 (16:42:20) | ===> btop++ v.1.4.0
2025/04/20 (16:42:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/20 (19:10:57) | ===> btop++ v.1.4.0
2025/04/20 (19:10:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/20 (19:11:26) | WARNING: Failed to join _runner thread on exit!
